market-suitable words present in the catalog: 51

値段 | w-nedan | home-inn | N3 | price; cost
商品 | w-shouhin | market | N3 | commodity; article of commerce
勘定 | w-kanjou | market | N3 | calculation; counting
金額 | w-kingaku | market | N3 | amount of money
両替 | w-ryougae | market | N3 | change; money exchange
量る | v-hakaru-3 | market | N2 | to measure; to weigh
担ぐ | v-katsugu | market | N2 | to shoulder; to carry on shoulder
配達 | w-haitatsu | market | N3 | delivery; distribution
売れる | v-ureru | market | N3 | to be sold
果実 | w-kajitsu | market | N2 | fruit; nut
順番 | w-junban | market | N3 | turn (in line); order of things
重たい | w-omotai | market | N2 | heavy; massive
倉庫 | w-souko | market | N2 | storehouse; warehouse
弁当 | w-bentou | market | N3 | box lunch
抱える | v-kakaeru | market | N3 | to hold or carry under or in the arms
小遣い | w-kozukai | market | N2 | personal expenses; pocket money
程度 | w-teido | market | N3 | degree; amount
片付く | v-katazuku | market | N2 | to put in order; to dispose of
払い込む | v-haraikomu | market | N2 | to deposit; to pay in
番地 | w-banchi | market | N2 | house number; address
次第 | w-shidai | market | N3 | (1) order; precedence
破片 | w-hahen | market | N2 | fragment; splinter
支払う | v-shiharau | shrine | N3 | to pay
売り切れ | w-urikire | shrine | N2 | sold-out
袋 | w-fukuro | tea-house | N3 | bag; sack
高価 | w-kouka-3 | shrine | N3 | high price
新鮮 | w-shinsen | tea-house | N3 | fresh
詰める | v-tsumeru | shrine | N3 | to pack; to shorten
計算 | w-keisan | shrine | N3 | calculation; reckoning
合計 | w-goukei | tea-house | N3 | sum total; total amount
注文 | w-chuumon | home-inn | N3 | order; request
予算 | w-yosan | tea-house | N3 | estimate; budget
割引 | w-waribiki | shrine | N2 | discount; reduction
現金 | w-genkin | home-inn | N3 | cash; ready money
受け取る | v-uketoru | home-inn | N3 | to receive; to get
積む | v-tsumu | home-inn | N2 | to pile up; to stack
会計 | w-kaikei | shrine | N3 | account; finance
有料 | w-yuuryou | market | N2 | admission-paid; toll
無料 | w-muryou | home-inn | N3 | free; no charge
販売 | w-hanbai | station | N3 | sale; selling
交換 | w-koukan | shrine | N3 | exchange; interchange
混雑 | w-konzatsu | market | N3 | confusion; congestion
行列 | w-gyouretsu | shrine | N2 | (1) line; procession
案内 | w-annai | home-inn | N3 | information; guidance
勧める | v-susumeru | tea-house | N3 | to recommend; to advise
選択 | w-sentaku | tea-house | N3 | selection; choice
種類 | w-shurui | shrine | N3 | variety; kind
豊富 | w-houfu | station | N3 | abundance; wealth
不足 | w-fusoku | market | N3 | insufficiency; shortage
余る | v-amaru | station | N2 | to remain; to be left over
減る | v-heru-2 | home-inn | N3 | to decrease (in size or number); to diminish

not in the catalog: 品物 包む 並ぶ 並べる 選ぶ 値上げ 値下げ 在庫 客 釣り 箱 重さ 品切れ 安価 傷む 渡す 運ぶ 下ろす 仕入れ 売り場 店員 購入 返品 展示 飾る 声をかける 呼ぶ 比べる 足りる 増える
