second pass: 25

湯気 | w-yuge | N2 | steam; vapour
食器 | w-shoki | N2 | tableware
調味料 | w-choumiryou | N2 | condiment; seasoning
塩辛い | w-shiokarai | N2 | salty (taste)
食欲 | w-shokuyoku | N3 | appetite (for food)
満足 | w-manzoku | N3 | satisfaction
応対 | w-outai | N2 | receiving; dealing with
敬語 | w-keigo | N2 | honorific; term of respect
言葉遣い | w-kotobazukai | N2 | speech; expression
様子 | w-yousu | N3 | aspect; state
態度 | w-taido | N3 | attitude; manner
笑顔 | w-egao | N3 | smiling face
呼び出す | v-yobidasu | N2 | to summon; to call (e.g. phone)
盛る | w-moru | N2 | (1) to serve (food; etc.)
分ける | v-wakeru | N3 | to divide; to separate
配る | v-kubaru | N2 | to distribute; to deliver
慎重 | w-shinchou | N3 | discretion; prudence
清潔 | w-seiketsu | N3 | clean
汚す | w-yogosu | N2 | (1) to disgrace; to dishonour
乾かす | v-kawakasu | N2 | to dry (clothes; etc.)
湿る | v-shimeru | N2 | to be wet; to become wet
雑巾 | w-zoukin | N2 | house-cloth; dust cloth
座布団 | w-zabuton | N2 | cushion (Japanese)
障子 | w-shouji | N2 | paper sliding door
暖かい | w-atatakai | N3 | warm; mild
